[Loja Loja3] [2025-04-10T19:54:38.427517500] Veiculo ID: 4, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 0, Posicao na esteira: 0
[Loja Loja3] [2025-04-10T20:28:48.414441300] Veiculo ID: 28, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 4, Posicao na esteira: 6
[Loja Loja3] [2025-04-10T20:28:50.418396200] Veiculo ID: 29, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 7
[Loja Loja3] [2025-04-10T20:28:53.423675700] Veiculo ID: 30, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 8
[Loja Loja3] [2025-04-10T20:28:56.429003200] Veiculo ID: 32, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 0, Posicao na esteira: 9
[Loja Loja3] [2025-04-10T20:28:58.934458] Veiculo ID: 34, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 2, Posicao na esteira: 10
[Loja Loja3] [2025-04-10T20:28:58.937447300] Veiculo ID: 33, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 11
[Loja Loja3] [2025-04-10T20:29:01.442896800] Veiculo ID: 35, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 12
[Loja Loja3] [2025-04-10T20:29:02.446163800] Veiculo ID: 36, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 13
[Loja Loja3] [2025-04-10T20:29:02.951378300] Veiculo ID: 37, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 1, Posicao na esteira: 14
[Loja Loja3] [2025-04-10T20:29:04.456441500] Veiculo ID: 38, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 15
[Loja Loja3] [2025-04-10T20:29:05.960464800] Veiculo ID: 39, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 16
[Loja Loja3] [2025-04-10T20:29:07.463739400] Veiculo ID: 40, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 4, Posicao na esteira: 17
[Loja Loja3] [2025-04-10T20:29:11.469613500] Veiculo ID: 43, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 18
[Loja Loja3] [2025-04-10T20:29:13.474896300] Veiculo ID: 44, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 19
[Loja Loja3] [2025-04-10T20:29:14.477295400] Veiculo ID: 45, Cor: BLUE, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 20
[Loja Loja3] [2025-04-10T20:29:16.982448700] Veiculo ID: 47, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 1, Posicao na esteira: 21
[Loja Loja3] [2025-04-10T20:29:17.486370900] Veiculo ID: 48, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 22
[Loja Loja3] [2025-04-10T20:29:20.994259500] Veiculo ID: 49, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 23
[Loja Loja3] [2025-04-10T20:29:23.500056400] Veiculo ID: 50, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 24
[Loja Loja3] [2025-04-10T20:29:25.004927700] Veiculo ID: 51, Cor: BLUE, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 25
[Loja Loja3] [2025-04-10T20:29:29.511645300] Veiculo ID: 54, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 26
[Loja Loja3] [2025-04-10T20:29:32.517769500] Veiculo ID: 56, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 2, Posicao na esteira: 27
[Loja Loja3] [2025-04-10T20:29:35.521420500] Veiculo ID: 57, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 1, Posicao na esteira: 28
[Loja Loja3] [2025-04-10T20:29:36.024987700] Veiculo ID: 58, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 4, Posicao na esteira: 29
[Loja Loja3] [2025-04-10T20:29:43.035607400] Veiculo ID: 62, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 30
[Loja Loja3] [2025-04-10T20:29:44.538927300] Veiculo ID: 64, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 31
[Loja Loja3] [2025-04-10T20:29:48.549114] Veiculo ID: 66, Cor: BLUE, Tipo: SEDAN, Estacao: 0, Funcionario: 4, Posicao na esteira: 32
[Loja Loja3] [2025-04-10T20:29:58.562383600] Veiculo ID: 71, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 33
[Loja Loja3] [2025-04-10T20:30:04.570640900] Veiculo ID: 75, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 1, Posicao na esteira: 34
[Loja Loja3] [2025-04-10T20:30:08.580198400] Veiculo ID: 77, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 35
[Loja Loja3] [2025-04-10T20:30:23.101285900] Veiculo ID: 87, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 36
[Loja Loja3] [2025-04-10T20:30:47.132958100] Veiculo ID: 99, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 37
[Loja Loja3] [2025-04-10T20:30:55.643223500] Veiculo ID: 103, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 38
[Loja Loja3] [2025-04-10T20:30:56.145841900] Veiculo ID: 105, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 39
[Loja Loja3] [2025-04-10T21:13:19.291148300] Veiculo ID: 39, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 0
[Loja Loja3] [2025-04-10T21:13:21.228753100] Veiculo ID: 41, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 2, Posicao na esteira: 1
[Loja Loja3] [2025-04-10T21:13:24.233587200] Veiculo ID: 46, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 1, Posicao na esteira: 2
[Loja Loja3] [2025-04-10T21:13:27.740657800] Veiculo ID: 48, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 3
[Loja Loja3] [2025-04-10T21:13:28.246755800] Veiculo ID: 49, Cor: RED, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 4
[Loja Loja3] [2025-04-10T21:13:33.255096600] Veiculo ID: 53, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 5
[Loja Loja3] [2025-04-10T21:13:35.260516900] Veiculo ID: 55, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 6
[Loja Loja3] [2025-04-10T21:13:39.267919300] Veiculo ID: 59, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 7
[Loja Loja3] [2025-04-10T21:13:45.280008900] Veiculo ID: 62, Cor: GREEN, Tipo: SEDAN, Estacao: 2, Funcionario: 2, Posicao na esteira: 8
[Loja Loja3] [2025-04-10T21:13:46.283146800] Veiculo ID: 63, Cor: BLUE, Tipo: SUV, Estacao: 2, Funcionario: 4, Posicao na esteira: 9
[Loja Loja3] [2025-04-10T21:13:46.286146400] Veiculo ID: 64, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 10
[Loja Loja3] [2025-04-10T21:13:48.288998] Veiculo ID: 66, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 11
[Loja Loja3] [2025-04-10T21:13:53.295501700] Veiculo ID: 68, Cor: GREEN, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 12
[Loja Loja3] [2025-04-10T21:13:55.800308100] Veiculo ID: 70, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 2, Posicao na esteira: 13
[Loja Loja3] [2025-04-10T21:13:58.808122] Veiculo ID: 72, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 1, Posicao na esteira: 14
[Loja Loja3] [2025-04-10T21:14:04.818106] Veiculo ID: 76, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 15
[Loja Loja3] [2025-04-10T21:14:06.323967900] Veiculo ID: 77, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 16
[Loja Loja3] [2025-04-10T21:14:08.830424200] Veiculo ID: 78, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 17
[Loja Loja3] [2025-04-10T21:14:09.833891500] Veiculo ID: 79, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 0, Posicao na esteira: 18
[Loja Loja3] [2025-04-10T21:14:15.344767500] Veiculo ID: 82, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 0, Posicao na esteira: 19
[Loja Loja3] [2025-04-10T21:14:18.850265] Veiculo ID: 84, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 20
[Loja Loja3] [2025-04-10T21:14:23.357846400] Veiculo ID: 86, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 0, Posicao na esteira: 21
[Loja Loja3] [2025-04-10T21:14:24.362151400] Veiculo ID: 88, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 22
[Loja Loja3] [2025-04-10T21:14:31.370883600] Veiculo ID: 90, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 23
[Loja Loja3] [2025-04-10T21:14:38.380731100] Veiculo ID: 94, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 24
[Loja Loja3] [2025-04-10T21:14:42.389144] Veiculo ID: 96, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 25
[Loja Loja3] [2025-04-10T21:14:44.896695800] Veiculo ID: 99, Cor: BLUE, Tipo: SUV, Estacao: 0, Funcionario: 2, Posicao na esteira: 26
[Loja Loja3] [2025-04-10T21:14:49.406445600] Veiculo ID: 100, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 27
[Loja Loja3] [2025-04-10T21:14:51.909221700] Veiculo ID: 102, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 28
[Loja Loja3] [2025-04-10T21:14:57.919540100] Veiculo ID: 104, Cor: GREEN, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 29
[Loja Loja3] [2025-04-10T21:14:59.926941700] Veiculo ID: 105, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 4, Posicao na esteira: 30
[Loja Loja3] [2025-04-10T21:15:03.435644700] Veiculo ID: 106, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 31
[Loja Loja3] [2025-04-10T21:15:06.441907600] Veiculo ID: 108, Cor: BLUE, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 32
[Loja Loja3] [2025-04-10T21:15:11.450437300] Veiculo ID: 109, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 33
[Loja Loja3] [2025-04-10T21:15:29.971686300] Veiculo ID: 118, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 34
[Loja Loja3] [2025-04-10T21:15:31.477155200] Veiculo ID: 119, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 35
[Loja Loja3] [2025-04-10T21:15:37.990249600] Veiculo ID: 121, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 36
[Loja Loja3] [2025-04-10T21:15:49.005726200] Veiculo ID: 125, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 37
[Loja Loja3] [2025-04-10T21:15:50.518437600] Veiculo ID: 126, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 38
[Loja Loja3] [2025-04-10T21:16:01.036034300] Veiculo ID: 131, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 39
